棋盘山（宋·林观过）　　七言绝句　押支韵	山顶仙翁一局棋，不知人世几推移。玉枰石座今存否，空使朝猿暮鹤悲。
天柱窟（宋·林观过）　　七言绝句　押元韵	六丁擎柱上天门，石窟空遗透地根。不是溪人严守护，灵踪那得至今存①。
游宝相院（宋·林观过）	古人期年变，拙政愧格顽。触此三伏暑，招提解征鞍。好风随过雨，稻花秀可餐。南窗大榻凉，久输老僧閒。盘飧息万虑，竹梧凛相看。清阴交蔽芾，直节不可干。斯来结三友，欲去复盘桓①。
句（宋·林观过）　　押佳韵	公来无琴鹤，公去有芒鞋（送杨长孺）。
