石井泉（宋·徐谊）　　七言绝句　押先韵	布谷催春又一年，使君风旆为翩然。清冷彻处真无际，果见灵源发漏泉。
谪官南康（当作安）军（宋·徐谊）　　七言绝句　押侵韵	花飞片片上衣襟，拾得飞花寘柳阴。莫遣便随流水去，东君应有惜花心。
游沩山（宋·徐谊）　　押尤韵	我行之宜阳，便作大仰游。上有参天松，下有漱石流。群峰拱梵宇，层层閟清幽。老禅雅爱客，要作数日留。泉石疗我饥，竹风销我忧。征尘积经年，可以少涤不。绝胜秋江上，独钓沧浪舟。所恨招不来，莫我更唱酬①。
