寄友（宋·朱浚）　　五言绝句　押侵韵	溪月知相忆，江云约共吟。夜船书一纸，飞过赤枫林。
秋日西湖（宋·朱浚）　　五言绝句　押侵韵	几州陵变谷，经月雨为霖。世事今如此，西风动客心。
赠卖墨吕云叔访陈烟山（宋·朱浚）　　七言绝句　押庚韵	仙宗传诀自分明，未数当年老树精。一片紫云光滴滴，丹墀成就几公卿。
都城初秋和赵京倅（宋·朱浚）　　七言绝句　押庚韵	从来美玉价连城，结佩乘风十二京。携上峥嵘今有约，好留彩笔调清平。
句（宋·朱浚）　　押歌韵	寺钟城鼓两相和，共醉烟关感慨多。堤柳垂金春几许，檐花鸣玉夜如何①。
句（宋·朱浚）	西风落叶长安梦，晚节寒花老圃心（京师九日）。玉帐分兵赋采薇，梅华吹雪上戎衣。将军意气中流楫。丞相功名采石矶（送人巡江）。金寒霜气山无虎，剑动星光水有龙（平江虎丘山）。皇帝当年第九春，宫符仍诏刻麒麟。军咨祭酒金台夜①，国子先生铁璧人②。落花水煖千船聚，芳草春深一鹤归（南浦夜泊）。米车已过尘迷路，渔网才收月满船（枇杷亭）。海燕故人意，杜鹃游子心（次韵）。故里千山隔，终年一字无（访旧）。
