天泽源（宋·杜捍）　　五言绝句　押翰韵	湛碧一泓深，潺湲泻不断。高穹沛四时，派别环周半。
引烟坞（宋·杜捍）　　押遇韵	行爱种桃处，濛濛罩轻素。花深人不辨，似入迷仙路。
句（宋·杜捍）　　押东韵	铁乌老龙挺，谁为辨雌雄（双剑峰）。
