失调名（宋·秦湛）　　押未韵	藕叶清香胜花气。
卜算子 春情（宋·秦湛）	春透水波明，寒峭花枝瘦。极目烟中百尺楼，人在楼中否。四和袅金凫，双陆思纤手。拟倩东风浣此情，情更浓于酒。
句（宋·秦湛）　　押虞韵	大胜商山老，同居一木奴。杌■①危中垒，高耸垛中雏②。
