菊（宋·韩丕）　　七言绝句　押寒韵	造化功夫异异端，自缘开晚少人看。若教总似陶潜眼，肯向芳春赏牡丹①。
禁林宴会之什（宋·韩丕）　　七言排律　押寒韵	鳌宫明丽倚春寒，宴会群仙喜纵观。圣作照临新日月，御书飞动集龙鸾。绮谈雅似闻天乐，琼夜香胜饮露盘。坐久杳同玄圃外，吟馀飘若碧云端。演纶视草微才怯，□□□□霈泽宽。因想前贤倍知幸，多云遭值太平难①。
寄岳阳刘从事（宋·韩丕）　　押马韵	秋来忆故人，寓目临大野。远近闻清商，依稀奏豳雅。经霜树半红，无风叶自下。一片洞庭心，聊凭塞鸿写①。
