上丁守（宋·谢履）　　五言绝句　押尤韵	闽岭天南表，清源第一州。朝廷推重镇，师帅得贤侯。
诗一首（宋·谢履）　　五言绝句　押尤韵	蛇冈蹑龟背，虾屿据龙头。岸隔诸蕃国，江通百粤舟。
泉南歌（宋·谢履）	泉州人稠山谷瘠，虽欲就耕无处辟。州南有海浩无穷，每岁造舟通异域。
句（宋·谢履）　　押尤韵	近日莲峰净，春风石笋抽①。
