初夏遣闷三绝（宋·赵伯溥）　　七言绝句　押先韵	何事东皇不暂延，祝融今日遽当权。匡床睡起浑无语，一握薰风入五弦。
读先大人伐金遗疏（宋·赵伯溥）　　七言绝句　押真韵	□□无情不可亲，年年遣使浪填津。武侯会有两篇表，读罢令人泪满巾。
宿斋堂（宋·赵伯溥）　　七言绝句　押东韵	灯前孤影吊焭焭，为忆亲恩未有穷。夜半子规啼血处，陡闻涧底鼓松风①。
