行次汉上（宋·释无本）　　七言绝句　押齐韵	习家池沼草萋萋，岚树光中信马蹄。汉主庙前湘水碧，一声风角夕阳低①。
马嵬（宋·释无本）　　七言绝句　押青韵	长川几处树青青，孤驿危楼对翠屏。一自玉皇惆怅后，至今来往马蹄腥①。
句（宋·释无本）	寺接江声秋月上，楼依野色夕禽还①。
