御沟柳（宋·陈执中）　　七言绝句　押真韵	一度春来一度新，翠光长得照龙津。君王自爱天然态①，恨杀昭阳学舞人②。
惠安县斋咏梅（宋·陈执中）　　七言绝句　押麻韵	去年边上见梅花，醉眼淹留未到家。今日岭南攀折得，忽惊身又在天涯①。
题苍梧部（宋·陈执中）　　七言排律　押虞韵	莫讶南方景物疏，为君聊且话苍梧。地倾二面城池壮，江迸三流气色粗。山畜火光因政出，石藏牛影为仙呼。官厅传自唐丞相，民颂思从汉大夫。龙母庙堂神鬼集，鳄鱼池近介鳞趋。朝台望断归岐路，冰井频窥爽发肤。脍美不堪全用鲤，果珍何忍命为奴。云归上国名终远，郡带□藩势未孤。铜鼓声浮翻霹雳，桄榔林静露真珠。溪平花槛饶桃李，疆压莺歌尽鹧鸪。三足吉祥文上载，独峰为盛事元无。封疆自觉随时广，饮食从分过岭殊。行伍戢威遵下武，儿童知学乐从儒。风轻别墅来渔唱，人到闲坊恋酒垆。服尚鲜华几两蜀，市相交易类全吴。营希贤帅偏栽柳，扇慕良规各制蒲。春耸门阑多列戟，雪从弦管舞双奴。只因谈笑评风俗，僭用诗谣和裤襦。万里无媒休促蹙，数年从宦弄斯须。却忧别后牵吟想，欲写幽期入画图①。
