特吟诗二首送英公大师（宋·苏易简）　　七言绝句　押支韵	乘舟南去唯寻酒，上马西行只咏诗。醒醉去留皆遂意，如斯方信是男儿。
禁林宴会之什（宋·苏易简）　　七言排律　押文韵	雨晴禁署绝纤尘，宴会名贤四海闻。供职尽居清显地，崇儒同感圣明君。翩然飞白璇题字，焕若丹青翠琰文。梓泽笙歌诚外物，兰亭诗酒不同群。少年已作瀛洲老，他日终栖太华云。莫怪坐间全不饮，心中和气自醺醺①。
赠翰林学士宋公白（宋·苏易简）	天子昔取士，先俾分媸妍。济济俊兼秀，师师麟与鸾。小子最承知，同辈寻改观。甲第叨荐名，高飞便凌烟。遂使拜扆坐，果得超神仙。迄今才七岁，相接乘华轩①。
题临兰亭序（宋·苏易简）　　押元韵	有若似夫子，尚兴阙里门。虎贲状蔡邕，犹旁文举樽。昭陵自一闭，真迹不复存。予今获此本，亦可比玙璠①。
越江吟（宋·苏易简）	神仙神仙瑶池宴。片片。碧桃零落春风晚。翠云开处，隐隐金舆挽。玉麟背冷清风远。
越江吟（宋·苏易简）	非烟非雾瑶池宴。片片。碧桃冷落谁见。黄金殿。虾须半卷。天香散。春云和、孤竹清婉。入霄汉。红颜醉态烂漫。金舆转。霓旌影乱。箫声远。
句（宋·苏易简）　　押佳韵	玉堂臣老非仙骨，犹在丹台望泰阶（道场醮步虚）。
