题画葡萄（宋·释子温）　　七言绝句	曾向流沙取梵书，草龙珠帐满征途。轻句短策难将带，记得西风月上初①。
题葡萄图（宋·释子温）　　七言绝句　押尤韵	明月清风宗炳社，夕阳秋色庾公楼。修心未到无心地，万种千般逐水流①。
于朱宣慰家作画讫作（宋·释子温）　　押未韵	昔有朱买臣，今有朱宣慰。两个担柴失，并皆金紫贵①。
