绝句（宋·释景淳）　　五言绝句　押庚韵	夜色中旬后，虚堂坐几更。临溪猿不叫①，当槛月初生。
句（宋·释景淳）　　押灰韵	捲箔西风起，乘时上古台。秋声随叶下，夜色带烟来①。
偈（宋·释景淳）　　押佳韵	怕寒懒剃髼松发，爱暖频添榾柮柴。破衲伽黎撩乱搭，谁能劳力强安排①。
