游安乐山（宋·鲁某）　　五言绝句　押麻韵	苔径傍岩斜，林间是道家。夜潭鱼戏月，春地鹿眠花。
百丈甘（宋·鲁某）　　七言绝句　押豪韵	碧玉纤纤百丈高，仙家曾用酝香醪。至今绿叶挼成酒，不使刘伶更藉糟。
句（宋·鲁某）	锦步斜开四十里①。
