答外兄王子常问修行之术（宋·刘卞功）　　五言绝句　押先韵	非道亦非律，又非虚空禅。独守一亩宅，惟耕己心田①。
题李公谟壁（宋·刘卞功）　　七言绝句　押支韵	日转庭槐影渐移，重门复壁转呼迟。不如拂袖穿云去，惟有落花流水知。
自题写真（宋·刘卞功）　　七言绝句　押鱼韵	韬光晦迹居环堵，闭自凝神事事疏。漫许丹青传道貌，难将妙笔写真如①。
