与玉泉长老（宋·欧阳景）　　七言绝句　押虞韵	金銮来觅玉泉书，金玉相逢价倍殊。到了不干藤蔓事，葫芦自去缠葫芦①。
句（宋·欧阳景）　　押阳韵	清明时节正秾芳①。
句（宋·欧阳景）　　押阳韵	清明时节正稼芳。
