白华岩（宋·俞掞）　　七言绝句　押寒韵	风剪飞丝雨脚残，半山虚旷九秋寒。洗开万里乾坤眼，更上苍岩顶上看。
三岩（宋·俞掞）　　七言绝句　押阳韵	三岩之下有贤良，暮史朝经万卷长。树老山空人已尽，烱然千古姓名香。
六石峰（宋·俞掞）　　七言绝句　押豪韵	斸石云边著著高，几经吟笔写风骚。山翁莫袖经纶手，好趁春风钓六鳌①。
浯溪（宋·俞掞）　　七言绝句　押支韵	大唐有颂到浯溪，翠藓苍崖古画垂。西望函关今万里，淡烟斜日几荒碑。
