咏蝉（宋·陆蒙老）　　七言绝句　押阳韵	绿荫深处汝行藏，风露从来是稻粱。莫倚高枝纵繁响，也宜回首顾螳螂①。
嘉禾八咏 披云阁（宋·陆蒙老）　　七言绝句　押麻韵	城角巍栏见海涯，春风帘幕暖飘花。云烟断处沧波阔，一簇楼台十万家。
赴官晋陵别端禅师（宋·陆蒙老）	枕上浮生过半百，短发毵毵霜样白。西溪溪上旧家山，岁岁故乡归似客。船头渐近古松门，云是吴均读书宅。烟云半岭见层楼，峥嵘鳌顶蓬宫窄。有人挂衲归盘陀，棱棱瘦骨真维摩。几年面壁舌不动，忽然拍手演渔歌。秋来满船载明月，直钩不钓闲鼋鼍。一雨笠，一烟蓑，五湖深处任风波。黄梅渡口水流急，救护心谁如老婆①。
