和朱利宾题妙智院（宋·元勋）　　七言绝句　押尤韵	放怀对客初寻笑，满目开花未放愁。望远此情天不尽，名山何得逐穷幽①。
题灵岩各景 紫云岩（宋·元勋）　　押个韵	历翠扪苍坚，不犯尘衣涴。暗香何处花，松下微风过。当有道人来，霏烟承宝坐。
题灵岩各景 夕阳洞（宋·元勋）　　押纸韵	东风送花归，曳杖云可倚。泉石符宿缘，相见作欢喜。西瞻少迟留，天末霞成绮。
题灵岩各景 朝阳岩（宋·元勋）　　押青韵	烟磴入风路，攲危转深冥。通明忽到眼，石自太古青。仙人故台在，何处乘云骈。
题灵岩各景 明心洞（宋·元勋）　　押遇韵	僧房尚闻声，云扃已通步。观身空翠间，宿霭避巾屦。不须蹑回踪，径自通仙路。
题灵岩各景 涟漪洞（宋·元勋）　　押霁韵	畏心恐灵居，空渺不可际。奇石坠惊云，凉坐得少憩。何曾落花流，自隔人间世。
题灵岩各景 碧云洞（宋·元勋）　　押麌韵	踏流溯风寒，危径仅可伛。中空遂闳深，翠润欲垂雨。人间知何时，石乳观万古。
灵岩（宋·元勋）　　押删韵	诸仙深窟宅，石门限尘寰。空洞初不碍，风扉敞云关。高广几何许，百夫可回环。谁托遗迹在，溟濛烟雾间。羽驾此来往，朝贡①想清班。西风翠屏近，藤萝莫容攀。因循再阅岁，建见亦以艰。旧闻剑门好，形势摧夷蛮。今②兹固殊特，独冠江南山。少陵惜未到，我语凭谁删③。
题白帝庙诗并序（宋·元勋）	楚山中到①三峡开，长江浩浩从西来。奫沦巨浸吞万派，淫预杰立高崔嵬。鲸波回薄山（原校：作出）羊角②，征鼙掺叠鸣春雷。蹴石③岩壁势益狠，怒涛骇浪争鸣豗。舟师绝叫不容瞬，风满孰敢施樯桅。龙骧蒙冲量万斛，梢濆撇漩如枯荄。昔闻有神司正直，江潭祠宇留山隈。羞牢酾斝荐诚恳，幽鉴冀蒙神所哀。跋柁鼓楫驶东骛，忽忽已过巫阳台。巴徼炎瘴昼如雾，汤燖赫日昏风霾。欻然晴皎射峭壁，翠光冶滟无纤埃。联娟岚光落衣袂，飞云容与风䬐䬐。祝融之祥古亦有，神之报与良丰哉。嗟余陷阱岂无谓，九死宁知祸有胎。触机直前靡顾后，壬人资从或嫌猜。燎原之势既炎烈，垂涎膏血如狼豺。盻刀阴顾肆舞勇，胁肩谄笑如诙俳。违道奸径躐禁橐，尽网异议为梯媒。旋踵已为鬼瞰室，俄惊白骨到苍苔。人胜有时天亦定，肸蚃疏网常恢恢。险夷百折坚一节，君恩浩荡天昭回④。
