佛印元公自京师还作诗赠之（宋·释可遵）　　七言绝句　押先韵	上国归来路几千，浑身犹带御炉烟。凤凰山下敲篷咏，惊起山翁白昼眠。
题汤泉壁（宋·释可遵）　　七言绝句　押尤韵	禅庭谁立石龙头，龙口汤泉沸不休。直待众生尘垢尽，我方清冷混常流①。
赠东坡（宋·释可遵）　　七言绝句　押支韵	君能识我汤泉句，我却爱君三峡诗。道得可咽不可漱，几多诗将竖降旗①。
句（宋·释可遵）　　押遇韵	掣电引狂雷，昼天忽成暮。万里泻银河，四檐垂瀑布①。
