和学士吴元昭（宋·释弥光）　　七言绝句	通身一穿金锁骨，正眼观来犹剩物。纵使当机觌面提，敢保居士犹未彻①。
和参政李汉老（宋·释弥光）　　七言绝句　押元韵	胡床稳坐已通津，何处更寻不二门。八苦起时全体现，不知谁解报深恩①。
偈五首（宋·释弥光）　　押有韵	一拶当机怒雷吼，惊起须弥藏北斗。洪波浩渺浪滔天，拈得鼻孔失却口①。
偈二首（宋·释弥光）	梦幻空花，何劳把捉。得失是非，一时放却。
颂古二首（宋·释弥光）	生铁铸就昆崙儿，头轻脚重肚皮大。明眼衲僧萨普吒，九十日中看不破。看不破，笑倒嵩山破灶堕①。
