上桂林詹帅（宋·姚宋佐）　　七言绝句　押侵韵	九月无霜飞叶少，四时有笋乱丛深。桂林二十四岩洞，杖屦十年供醉吟①。
梅月吟（宋·姚宋佐）　　七言绝句　押庚韵	梅花得月太清生，月得梅花越样明。梅月萧疏两奇绝，有人踏月绕花行①。
句（宋·姚宋佐）　　押萧韵	当日客星今底处，化成台辅柄璇霄（钓台）。
