为王钦若作命书（宋·曹谷）　　七言绝句　押麻韵	七十年中一一加，弄珠滩上事堪誇。碧油幢下闻啼鸟，千日招①还上汉槎。
送张无梦归天台（宋·曹谷）　　五言排律　押文韵	几载仙山下，无机世莫分。因为天市客，方识帝乡云。鍊气壶中见，还元海内闻①。名高赤城洞，歌赐紫皇君。步逐飙轮健，香随斗极焚。何当挹蓬阆，鸾鹤自成群②。
句（宋·曹谷）	临去尚犹闻禁漏，异姓嘉名在史书①。
