题智宝院（宋·胡珵）　　五言绝句　押元韵	六代烟尘息，千年象教尊。衣冠悲故里，聚落见荒村①。
枫桥（宋·胡珵）　　七言绝句	朝辞海涌千人石，暮宿枫桥半夜钟。明日馆娃宫里去，洞庭呼起一帆风①。
沧浪亭（宋·胡珵）	昔闻沧浪亭，未濯沧浪水。先贤眇遗迹，壮观一何侈。飞桥跨木末，巨浸折胡垒。糟床行万瓮，缭墙周数里。废兴固在天，庶用观物理。缅怀嘉祐世，周道平如砥。相君贤相君，子美东南美。如何一网尽，祸岂在故纸。青蝇变白黑，作俑兹焉始。所存醉翁文，垂耀信百世。无忘角弓咏，嘉树犹仰止。同来二三子，感叹咸坐起。缥瓷釂新汲，毁誉均一洗。忽逢醒狂翁，一别垂二纪。隽哉老益壮，论事方切齿。我欲裂绛幔，推著明光里。安得上天风，吹落君王耳①。
游秀峰寺（宋·胡珵）	摄身下蓬莱，放浪云水迹。非无简书畏，心赏寄泉石。亭亭云间塔，胜地闻自昔。梯空上青冥，如鸟著两翼。化城出天半，宝甃坦如席。环山划中断，裂地开震泽。峨峨东西峰，观阙倚空碧。千寻采香遥，剑卧涟漪直。当年馆娃宫，六月避暑夕。琴台延薰风，万女曳阿锡。牛耳争齐盟，乌喙已荐食。百家甬东村，托足归无宅。焉知陵谷变，大厦响千舄。矧兹风尘际，楼殿踊山脊。安隐大火中，显允像教力。兴予浩劫叹，万法本空寂①。
题天庆观画龙（宋·胡珵）	道人龙中来，醉与神物会。写兹蜿蜒质，日月为冥晦。崩翻江海姿，素壁起涛濑。呼吸见雌雄，抉石疑可碎。肃森殿阴古，众真俨飞旆。注观恐腾跃，夜半失像绘。飞光著明珠，灵秘一何怪。烂烂照甍栋，那得久在外。偷儿伺酣睡，不怕婴鳞害。愿言慎所托，未用期一快。
题定山梵放轩（宋·胡珵）	道人避世氛，山腰著祇园。千夫斸青冥，豁达窗户搴。鬼神间施设，俨护龙象筵。法鼓空中鸣，龙卧层崖巅。幽灵骇今昔，异事樵夫传。眷兹水云侣，精赏托妙缘。努力办己事，追驾佛祖肩。凭高发钟磬，梵音落诸天。况时解禅缚，迢遥倚层轩。放意万物外，目送孤鸿翩①。
