铁笛亭（宋·黄铢）　　五言绝句	一声苍壁裂，再奏蛟龙悲。事往迹犹在，山空人不归。
梅花（宋·黄铢）　　七言绝句　押删韵	玉箫吹彻北楼寒，野月峥嵘动万山。一夜霜清不成梦，起来春信②满人间①。
秋日（宋·黄铢）　　七言绝句　押微韵	晓日初浮万里晖，西风摇荡送秋归。冥鸿直上三千丈，社燕春莺不敢飞①。
送朱元晦游湘中（宋·黄铢）	有美人兮，蹇何为兮中洲。鸣玉佩兮，冠云章而远游。浮沅湘而西蹠兮，因返睇兮层丘。繄发轫之指期兮，歌予怀以送之。粤大道之汩湮兮，嗟惟君兮何求。唐虞远而不可见兮，凤鸟去兮周衰。翟朱之诡行兮，邹人拒而劙之。竺老氏之猖披兮，浸淫渝而益非。思正气之所繇兮，度百世而固然。岂日夜而忘之兮，曰夫子之所传。发丝丝其不斩兮，哇淫蔽兮莫开。讫大振于兹时兮，余将从乎洛之湄。心郁郁而无告兮，顾众兆兮何知。梏夜气而不存兮，外其良而四驰。彼早兴而夕息兮，既日用而不能察也。纷蠢蠢其倚靡兮，曰骛乱而莫之达也。思存养而莫吾亏兮，所事天下而不忘繇。致知以自强兮，至天下以□览。余初其性之兮，稽□坟而载陈。仁与人其并致兮，道乌乎而远身。刚柔之弛张兮，一气缭转而无息。矫吾奠夫两间兮，又阴阳而与为一。超无极而混沦兮，精凝融而以神。卒变化而不穷兮，周流通乎九垠。悲空言之无所底兮，固将推乎余所行。杂椒兰以并进君兮，终何乖异而不余信。既鄙弃而不吴（疑当作吾）庸兮，徒渊潜以自珍。岂不郁陶而思君兮，觊方来之以申。时与时其未际兮，夷与裔兮得志。□冠巾之易置兮，曾乐天而不云恚。曾永慨以嗟咨兮，聊远举乎湘中。即友声以自乐兮，盖将切偲以益其躬。山九疑而在上兮，湘流奔其在下。故仁智之所乐兮，遂倘佯而辞去。超兮浮兮，心若谋兮。眴兮眄兮，目横分兮。鸾凤并驭，羌不得留兮。时未适当适，吾何为东周兮。乱曰：汩兮沅湘，生秋风兮。商行激御，白云东兮。树木萎落，山郁盘兮。风车雨轮，旌摇摇其行兮。委蛇噎抑，多修艰兮。白首倚户，思结棘兮。信莫乐兮，君乎无忘归兮。
送仲晦（宋·黄铢）	靡靡岁时晏，乱山红叶稀。端居已无悰，况与亲故违。驾言临广路，惜此须臾期。祖燕未云洽，鸡鸣促再驰。晨装俨然队，天澹风凄凄。迤逦征人行，怅惘离言悲。令德本高世，诚思开圣微。虎豹文采异，几年丹诏垂。眷兹皇华寄，那得淹遐隮。君王久延伫，去矣翔天墀。顾我抱幽独，已为清世遗。冥鸿聿高举，蜩鸴何由追。萦萦西郊道，晻晻朝阳晖。出处自殊迹，操袪胡不怡。明当逐云月，依旧东冈陂。
寄南康使君仲晦五十二兄（宋·黄铢）　　押元韵	故人久已别，出拥朱辕轓。昨尝枉札素，谓言寻里门。云胡不践诺，使我心烦冤。天门深九重，叫阍闻有言。狺狺猛犬吠，曀曀黄霾昏。何由一褰开，豁然见乾坤。沈忧谅难寤，掩默孰与论。秋风吹层波，落叶何翩翻。林端月照夜，谷口云迷村。谁同紫芝友，桂枝谁攀援。江蓠老已尽，况复芳兰荪。应当虎符恋，茕茕劳梦魂。
秋日怀元晦（宋·黄铢）	叶落不胜秋，山空退烦暑。高斋读书罢，枕臂听残雨。霭霭野云昏，翻翻坠红舞。中虚万思息，动静理可睹。敬直如有存，勇进忽无所。要当涵濡得，未易气力取。林□传秋声，晚色霁宫宇。肃骚节物变，仰伏冥鸿举。谁与会心期，怀君自延伫。
季夏有怀仲晦（宋·黄铢）	六月苦炎蒸，山居昼方永。泠然南风至，萧散荷气骋。蜩鸣绿树阴，鱼跃横塘净。高蔓展修条，幽篁茁阴颖。良时倏回改，白发益蔽领。虽无簪组累，要有贫贱㾪。故交何寥阔，画戟光烱烱。沧洲期未远，岁晏心独耿。谁同兹寂寞，敛退自幽屏。向夕牛羊下，过翮急似逞。默默掩荆扉，明蟾在东岭。
晓起有怀仲晦彦集不至（宋·黄铢）	月落北牖晓，邻鸡号梦残。林端清露坠，寝衣凄已单。爽朗朝景晰，嘲啾庭雀喧。日高溪雾收，四望开青天。荷谢水初冷，菊黄香正繁。晶晶灏气凝，馀光浮远川。怀人天一方，晤言谁与殚。徘徊遂薄暝，丹枫摇暮寒①。
江神子 晚泊分水（宋·黄铢）	秋风袅袅夕阳红。晚烟浓。暮云重。万叠青山，山外叫孤鸿。独上高楼三百尺，凭玉楯，睇层空。人间日月去匆匆。碧梧桐。又西风。北去南来，销尽几英雄。掷下玉尊天外去，多少事，不言中。
菩萨蛮 夜宿崇安县第三铺闻吹箫（宋·黄铢）	海山翠叠青螺浅。暮云散尽天容远。匹马度江皋。北风生怒号。解鞍栖倦翮。皓月空庭白。何处小阑干。玉箫吹夜寒。
渔家傲 朱晦翁示欧公鼓子词戏作一首（宋·黄铢）	永日离忧千万绪。雪舟远泛清漳浦。珍重故人寒夜语。挥玉麈。沈沈画阁凝香雾。风砌落花留不住。红蜂翠蝶闲飞舞。明日柳营江上路。云起处。苍山万叠人归去。
句（宋·黄铢）　　押真韵	先圣有遗训，忧道不忧贫。
