浴佛（宋·释悟本）　　七言绝句　押庚韵	今日当年佛降生，当年今日不多争。若言八十还归灭，有眼分明特地盲。
遣僧通嗣书（宋·释悟本）　　七言绝句	射杀南山老大虫，行人从此路头通。年来猎犬浑无用，卧对千峰与万峰①。
偈（宋·释悟本）　　押麌韵	乾闼婆王曾奏乐，山河大地皆作舞。争如跛脚老云门，解道腊月二十五①。
