颂妙喜老师室中所问因缘（宋·吴伟明）	不是心，不是佛，不是物，通身一穿金锁骨。赵州参见老南泉，解道镇州出萝卜①。
句（宋·吴伟明）　　押屋韵	梁山重回首，翠峰三十六①。
偈一首（宋·吴伟明）　　押庚韵	毒蛇猛虎空相向，铁壁银山谩自横。长笛一声归去好，更于何处觅疑情①。
