述怀（宋·梁意娘）　　七言绝句	踪迹浮萍落五湖，一番相别一番疏。不知此去从何处，还许春风得见无①。
秦楼月/忆秦娥（宋·梁意娘）	春宵短。香闺寂寞愁无限。愁无限。一声窗外，晓莺新啭。起来无语成娇懒。柔肠易断人难见。人难见。这些心绪，如何消遣。
茶瓶儿（宋·梁意娘）	满地落花铺绣。春色著人如酒。晓莺窗外啼杨柳。愁不奈、两眉频皱。关山杳。音尘悄。那堪是、昔年时候。盟言辜负知多少。对好景、顿成消瘦。
