题温汤驿 其二（宋·张俞）　　五言绝句　押沃韵	昨夜过温汤，梦与杨妃浴。敢将豫让炭，却对卞和玉。
蚕妇（宋·张俞）　　五言绝句　押真韵	昨日到城廓，归来泪满巾。遍身罗绮者，不是养蚕人①。
郴州道（宋·张俞）　　五言绝句　押寒韵	南土殊风气，冬林叶尽丹。越天无雁度，楚泽有龙蟠①。
嘉州（宋·张俞）　　五言绝句　押灰韵	城分二江急，树入九峰开。地隔犍牂绕，人从楚蜀来①。
丈人观（宋·张俞）　　五言绝句　押元韵	精气腾井络，下临群岳尊。元真戴天坐，执印朝轩辕①。
韩信坛（宋·张俞）　　五言绝句　押支韵	汉用亡臣策，登坛授钺时。须知数仞土，曾立太平基。
博望侯墓（宋·张俞）　　五言绝句　押冬韵	九译使车通，君王悦战锋。争残四夷国，只在一枝筇。
题隐真谷（宋·张俞）　　五言绝句　押屋韵	绵绵褒斜路，窈窈郑真谷。斯人已千载，高谊犹在目①。
游骊山（宋·张俞）　　七言绝句　押东韵	金玉楼台插碧空，笙歌递响入天风。当时国色并春色，尽在君王顾盼中。
题温汤驿 其一（宋·张俞）　　七言绝句	梦魂飞入瑶台路，九霞宫里曾相遇。壶天好景自愁人，春水泛花何处去。
题汉州妓（宋《锦绣万花谷》前集卷一七作李回诗）项帕罗（宋·张俞）　　七言绝句　押萧韵	蜀国佳人号细腰，东台御史惜妖娆。从今唤作杨台柳，舞尽春风万万条①。
白云楼（宋·张俞）　　七言绝句　押尤韵	城上新开百尺楼，白云人伴白云留。山川半倚三吴胜，江汉常吞七泽流①。
车湖（宋·张俞）　　七言绝句	忆昔车公居此地，遗墟缭绕临清渊。惜哉断石文尚在，野老不识投波澜①。
除夜宿黄沙馆书怀（宋·张俞）　　七言绝句　押删韵	穷年抚剑独无眠，世路危疑倦往还。夜半无人残月白，狐鸣枭啸满空山。
岁穷雨夜独卧山斋（宋·张俞）　　七言绝句　押尤韵	岁晏云深谁与游，嵓房终夜雨如秋。不知海上三山梦，何似人间万户侯①。
朱槿花二首（宋·张俞）　　七言绝句　押阳韵	风雨无人弄晚芳，野桥千树斗红房。朝荣暮落成何事，可笑纷华不久长。
翠微寺（宋·张俞）　　七言绝句　押冬韵	翠微寺本翠微宫，楼阁亭台数十重。天子不来僧又死，樵夫时倒一株松①。
邛州青霞嶂（宋·张俞）　　七言绝句　押先韵	雾山环合自云川，户有清溪种玉田。万本桃花不知处，几人曾得问秦年①。
游灵岩（宋·张俞）　　七言绝句　押阳韵	玉文山后灵岩寺，四百年来选佛场。满地白云关不住，石泉流出落花香①。
楚中作（宋·张俞）　　五言排律　押尤韵	渺渺洞庭野，萧萧黄鹤楼。水通云梦浦，人渡沔阳舟。广泽侵吴壤，孤城接郢丘。山分三楚断，溪入九江流。寂寞休兵月，纷纭战国秋。吴生来赤壁，魏武定荆州。六代凭形势，群雄死寇雠。凄凉帝子宅，浩荡祢衡洲。万里浮云暮，千年故国愁。武昌宫不见，麋鹿自群游①。
