偈三首（宋·释道震）　　押咸韵	白云深覆古寒岩，异草灵花彩凤衔。夜半天明日当午，骑牛背面着靴衫①。
插锹井颂（宋·释道震）　　押歌韵	尽道沩山父子和，插锹犹自带干戈。至今一井如明镜，时有无风匝匝波。
临终颂（宋·释道震）　　押覃韵	吾年八十三，随顺世言谈。不落思量句，谁人共我参①。
