诗三首（宋·严中和）　　七言绝句　押真韵	山中道人不裹巾，一片石床生绿鳞。昨夜瓦瓶冰冻破，梅花无水自精神。
月夜看桂（宋·严中和）　　七言绝句　押歌韵	玉杵声中舞素娥，西风叶叶自婆娑。一天清气无人管，惟有山楼树影多①。
句（宋·严中和）　　押虞韵	树影踏不碎，花香嗅却无。
