幔亭峰（宋·李左史）　　七言绝句　押文韵	更无裀幕空中举，时有笙竽静处闻。猿鸟哀啼千嶂月，松篁寒锁一溪云①。
仙迹岩（宋·李左史）　　七言绝句　押先韵	当时天姥立溪边，石上遗踪见宛然。笑杀茂陵缑氏迹，只凭方士口中传①。
句 其一（宋·李左史）　　押冬韵	溪流玉雪三三曲，山锁烟霞六六峰（游仙溪）。
