景福寺（宋·何彦国）　　七言绝句　押灰韵	山留灌木冬长茂，岩抱阴云冻不开。沧海未乾徐福死，更于何处觅蓬莱。
大蓬山天宝碑（宋·何彦国）　　七言绝句　押先韵	谁向山阴谩刻镌，雨淋日炙隶文全。依稀记得升平事，天宝犹题十二年。
句（宋·何彦国）　　押侵韵	暗量无限人间事，难概不平天下心（斗子山）。
