瀑布泉（宋·陈肃）　　押养韵	山高激迅湍，清振林下响。飞雪溅千岩，白虹垂万丈。来此坐移时，森然毛发爽。
桃源洞（宋·陈肃）　　押翰韵	轻烟绿满溪，夭桃红夹岸。春风吹百花，香逐春风散。花落与花开，年光不知换。
半山亭（宋·陈肃）　　押职韵	蹑屐上高山，亭在半山侧。猿鸟戏层台，烟霞含秀色。复知名利心，到此堪俱息。
投龙潭（宋·陈肃）　　押灰韵	流瀑落深潭，叠响如惊雷。跳波夹乱石，突兀寒如堆。潭上片云起，千山风雨来。
七星杉（宋·陈肃）	峭石七星杉，凌云势森耸。月照林影寒，风起龙势动。高低松桧枝，环如众星拱。
蔡经宅（宋·陈肃）　　押麻韵	岩扉生翠霭，石壁凌朱霞。草木状多怪，鸾鹤归如家。谁嫌狡狯心，满地投丹砂。
碧莲池（宋·陈肃）　　押陌韵	爱此东南池，澄湛通泉脉。昔日碧莲根，香英今变白。颜色本神仙，霞衣无定格。
流水池（宋·陈肃）　　押庚韵	积水环巨石，石面如砥平。当知达者心，来此浮杯觥。酒中有贤圣，常愿娱闲情①。
