四穿楼 其一（宋·廖德明）　　五言绝句　押冬韵	四壁无遮碍，凭阑豁远胸。何须高百尺，亦可卧元龙。
南楼（宋·廖德明）　　七言绝句　押阳韵	三里之城渺大荒，两江横截壮金汤。唐家设险基犹在，圣代增陴虑更长①。
郁林郡城（宋·廖德明）　　七言绝句　押虞韵	荒烟漠漠双江上，往事悠悠古戍孤。春到偏临青草渡，梦中犹记白鸥湖①。
四穿楼 其二（宋·廖德明）　　七言绝句　押灰韵	南北东西四望开，熙熙人似上春台。时平不用筹边策，閒看双江抱郭来①。
