绝句（宋·任大中）　　七言绝句　押歌韵	莫管流年一掷梭，花前对酒且高歌。命中若有终须有，到底无时不奈何①。
送永倅周茂叔还濂溪（宋·任大中）　　七言绝句　押尤韵	君去何人最泪流，老翁身独宿南州。随君不及秋来雁，直到潇湘水尽头①。
和祖无择题袁州东湖卢肇石（宋·任大中）	宜阳刺史才，祖择之维①杰。大旱雨一方，尽使焦枯活。公退趣尚②深，水石探其绝。长江北岸林，唐有卢子发。曾居此林下，高把簪组脱。岁远成荒墟，佳名讵泯没。有石数尺长，犹是旧时物。况辱泥涂久，实有坚重节。择之渡水见，力③为心惨切。万夫一呼聚，挠动雷声揭。地险若驱来，岩谷俱震裂。幽④辅郡东河，脱得太华骨。白玉漏纤纹，雨频为澡⑤刷。草蔓渐盘绕，柳绿密挥拂。润恐欲迸泉，怪亦有奥穴。安知无蛰龙，时见微云出。几因牵⑥夜吟，帘晓捲残月。气暗逼人寒，蒙笼未若⑦别。烟重风扫开，独立势突兀。苏武见单于，傲睨腰不折。人皆画⑧将归，予笔恨粗拙。择之岂不贤，天涯避谗舌。对此忧足忘，我观未甚悦。不得见娲皇，愿天无破缺⑨。
