离黄龙有作（宋·释惟尚）　　七言绝句　押删韵	大袖长拖出祖关，蛟龙战罢海涛闲。寄言白首参玄者，休把虚空侧点斑。
次韵答张无垢居士（宋·释惟尚）　　七言绝句　押支韵	从来高价莫饶伊，百战场中奋两眉。夺角冲关群会也，丛林谁敢更相欺①。
呈觉印禅师偈（宋·释惟尚）　　押支韵	须是南泉第一机，不知不觉蓦头锥。觌面若无青白眼，还如■③■②守空池①。
