荆台（唐末宋初·孙光宪）　　七言绝句　押阳韵	百尺荆台草径荒，如何前日谓云阳。古今不尽迁移恨，依旧台边水渺茫①。
采莲子 其一（唐末宋初·孙光宪）	菡萏香连十顷陂（举棹），小姑贪戏采莲迟（年少）。晚来弄水船头湿（举棹），更脱红裙裹鸭儿（年少）。
八拍蛮（唐末宋初·孙光宪）	孔雀尾拖金线长，怕人飞起入丁香。越女沙头争拾翠，相呼归去背斜阳。
浣溪沙（唐末宋初·孙光宪）	蓼岸风多橘柚香，江边一望楚天长，片帆烟际闪孤光。目送征鸿飞杳杳，思随流水去茫茫，兰红波碧忆潇湘。
河传（唐末宋初·孙光宪）	太平天子，等闲游戏，疏河千里。柳如丝，偎倚，绿波春水，长淮风不起。如花殿脚三千女，争云雨，何处留人住？锦帆风，烟际红，烧空，魂迷大业中。
菩萨鬘（唐末宋初·孙光宪）	月华如水笼香砌，金镮碎撼门初闭。寒影堕高檐，钩垂一面帘。碧烟轻袅袅，红战灯花笑。即此是高唐，掩屏秋梦长。
河渎神（唐末宋初·孙光宪）	汾水碧依依，黄云落叶初飞。翠娥一去不言归，庙门空掩斜晖。四壁阴森排古画，依旧琼轮羽驾。小殿沈沈清夜，银灯飘落香灺。
虞美人（唐末宋初·孙光宪）	红窗寂寂无人语，暗淡梨花雨。绣罗纹地粉新描，博山香炷旋抽条，睡魂销。天涯一去无消息，终日长相忆。教人相忆几时休，不堪枨触别离愁，泪还流。
后庭花（唐末宋初·孙光宪）	景阳钟动宫莺转，露凉金殿。轻飙吹起琼花绽，玉叶如剪。晚来高阁上，珠帘卷。见坠香千片，修蛾慢脸陪雕辇，后庭新宴。
生查子（唐末宋初·孙光宪）	寂寞掩朱门，正是天将暮。暗澹小庭中，滴滴梧桐雨。绣工夫，牵心绪，配尽鸳鸯缕。待得没人时，偎倚论私语。
临江仙（唐末宋初·孙光宪）	霜拍井梧乾叶堕，翠帏雕槛初寒。薄铅残黛称花冠，含情无语，延伫倚阑干。杳杳征轮何处去，离愁别恨千般。不堪心绪正多端，镜奁长掩，无意对孤鸾。
酒泉子（唐末宋初·孙光宪）	空碛无边，万里阳关道路。马萧萧，人去去，陇云愁。香貂旧制戎衣窄，胡霜千里白。绮罗心，魂梦隔，上高楼。
清平乐（唐末宋初·孙光宪）	愁肠欲断，正是青春半。连理分枝鸾失伴，又是一场离散。掩镜无语眉低，思随芳草凄凄。凭仗东风吹梦，与郎终日东西。
更漏子（唐末宋初·孙光宪）	听寒更，闻远雁，半夜萧娘深院。扃绣户，下珠帘，满庭喷玉蟾。人语静，香闺冷，红幕半垂清影。云雨态，蕙兰心，此情江海深。
女冠子（唐末宋初·孙光宪）　　押东韵	蕙风芝露，坛际残香轻度，蕊珠宫。苔点分圆碧，桃花践破红。品流巫峡外，名籍紫微中。真侣墉城会，梦魂通。
风流子（唐末宋初·孙光宪）	茅舍槿篱溪曲，鸡犬自南自北。菰叶长，水荭开，门外春波涨渌。听织，声促，轧轧鸣梭穿屋。
定西番（唐末宋初·孙光宪）	鸡禄山前游骑，边草白，朔天明，马蹄轻。鹊面弓离短韔，弯来月欲成，一只鸣𩩉云外，晓鸿惊。
何满子（唐末宋初·孙光宪）	冠剑不随君去，江河还共恩深。歌袖半遮眉黛惨，泪珠旋滴衣襟。惆怅云愁雨怨，断魂何处相寻。
玉胡蝶（唐末宋初·孙光宪）　　押阳韵	春欲尽，景仍长，满园花正黄。粉翅两悠飏，翩翩过短墙。鲜飙暖，牵游伴，飞去立残芳。无语对萧娘，舞衫沈麝香。
思帝乡（唐末宋初·孙光宪）	如何，遣情情更多。永日水堂帘下，敛羞蛾。六幅罗裙窣地，微行曳碧波。看尽满池疏雨，打团荷。
