万春院（宋·释怀琏）　　七言绝句　押东韵	晚凭又阁望西东，细雨微烟澹碧空。造物使谁匀画手，山川平远有无中。
白云谣送明教嵩禅师归山（宋·释怀琏）	白云人间来，不杂飞埃色。遥烁太阳辉，万态情何极。嗟嗟轻肥子，见拟垂天翼。图南诚有机，去当六月息。宁知絪缊采，无心任吾适。天宇一何辽，舒卷非留迹。
句（宋·释怀琏）　　押微韵	尧仁况是如天阔，乞与孤云自在飞（上仁宗皇帝乞还山）。
上仁宗皇帝乞还山偈（宋·释怀琏）　　押尤韵	千簇云山万壑流，闲身归①老此峰头。殷勤愿祝如天寿②，一炷清香满石楼。
颂（宋·释怀琏）　　押微韵	六载皇都唱祖机，两曾金殿奉天威。青山隐去欣何得，满箧惟将御颂归。
