村老（宋·马存）　　七言绝句　押支韵	肉死皮乾垂鬓丝，寻暄扶杖向东篱。文王没后无人问，直至而今大半饥①。
长淮谣为徐先生咏（宋·马存）	长淮之水青如苔，行人但觉心眼开。湘江岂无水，鱼腹忠魂埋，但见愁云结雨猿声哀。浙江岂无水，鸱革漂胥骸，但见潮头怒气如山来。孤臣词客到江上，何以宽心怀。长淮之水绕楚流，先生家住淮上头。黄金万斛浴明月，碧玉一片含清秋。酒花入面歌一曲，淮上百物无闲愁①。
题钓台（宋·马存）	子陵台下山层层，奇峰壮气横云生。处士溪边水泚泚，碧波明月涵天清。老松偃蹇傲世态（一作色），绿竹潇洒吟风声。潮头百仞出海门，飘吴系越如毛轻。飞来滩下不敢过，变作平浪归沧溟①。
题梅仙观（宋·马存）	汉纲解宏纽，国命移权臣。太阿有神锋，颠倒柄在人。公卿虽满前，有语各自吞。张禹为帝师，此是祸乱根。天子辟左右，决机在一言。不为社稷计，祇乞儿女恩。上方斩马剑，当时负朱云。谷永对直言，天庭策灾氛。阴谋助元恶，归咎昭阳嫔。豺狼自此纵，白昼当路蹲。先生当是时，上书叩帝阍。耿耿祸福语，皎皎星与辰。天门锁九重，一门万夫屯。小臣江湖心，何由达至尊。贼莽果盗国，忠烈遭烹焚。先生变名姓，为卒吴市门。浮云去无踪，世人以为仙。蓬山在何处，此事且勿论。但爱清风高，凛凛久益新。我来拜遗像，旧宅荒基存。元丰发新诏，玉牒对寿春。老松益劲色，岁饱霜雪痕。直上绝顶坛，天风吹衣巾。细读壁间书，颇喜罗隐文。恨叹有鲠语，使我气益振。回视饱食徒，茫茫如埃尘①。
邀月亭（宋·马存）	亭上十分绿醑酒，盘中一箸黄金鸡。沧溟东角邀姮娥，水轮碾上青琉璃。天风洒扫浮云没，千岩万壑琼瑶窟。桂花飞影入盏来，倾下胸中照清骨。玉兔捣药与谁餐，且与豪客留朱颜。朱颜如可留，恩重如丘山①。为君杀却虾蟆精，腰间老剑光芒寒。举酒劝明月，听我歌声发。照见古人多少愁，更与今人照离别。我曹自是高阳徒，肯学群儿叹圆缺。
燕思亭（宋·马存）	李白骑鲸飞上天，江南风月闲多年。纵有高亭与美酒，何人一斗诗百篇。主人定是金龟老，未到亭中名已好。紫蟹肥时晚稻香，黄鸡啄处秋风早。我忆金銮殿上人，醉著宫锦乌角巾。巨灵摩山洪河竭，长鲸吸海万壑贫。如倾元气入胸腹，须臾百媚生阳春。读书不必破万卷，笔下自有鬼与神。我曹本是狂吟客，寄语溪山莫相忆。他年须使襄阳儿，再唱铜鞮满街陌①。
寄范安道（宋·马存）	西山石脚盘如城，芙蓉峰插龙泉精。有客高卧青云层，孤吟自作太古声。古声无味淡如水，今人有耳甜如饧。君不见登高山，泛流水，子期已没不复生，几世几年无此耳。恨君不到苍岩阴，不见此客摇头吟。千崖万壑群动息，相知唯有清泉音。春风捲野浓如波，着人如醉将奈何。几时见我铜鞮陌，为唱襄阳拍手歌①。
浩浩歌（宋·马存）　　押歌韵	浩浩歌，天地万物如吾何。用之解带食太仓，不用拂枕归山阿。君不见渭川渔父一竿竹，莘野耕叟数亩禾。喜来起作商家霖，怒后便把周王戈。又不见子陵横足加帝腹，帝不敢动岂敢诃。皇天为忙逼，星辰相系摩。可怜相府痴，邀请先经过。浩浩歌，天地万物如吾何。屈原枉死汩罗水，夷齐空卧西山坡。丈夫荦荦不可羁，有身何用自灭磨。吾观圣贤心，自乐岂有他。苍生如命穷，吾道成蹉跎。直须为吊天下人，何必嫌恨伤邱阿。浩浩歌，天地万物如吾何。玉堂金马在何处，云山石室高嵯峨。低头欲耕地虽少，仰面长笑天何多。请君醉我一斗酒，红光一面春风和①。
句（宋·马存）　　押阳韵	可怜一觉登天梦，不梦商岩梦邓郎①。
