诗二首 其二（宋·施清臣）　　七言绝句　押尤韵	一蓑一笠一孤舟，万里江山独自游。有人问我红尘事，笑入芦花不点头①。
湖景（宋·施清臣）　　七言绝句　押萧韵	一曲新腔紫玉箫，护晴檐幕窣兰桡。柳迷远近花张锦，小泊危红第六桥①。
诗二首 其一（宋·施清臣）	花里蝶，花里休。蓼中虫，蓼中死。人生甜苦皆是缘，法只可随顺应之。
