诗一首（宋·张元）　　五言绝句	夏竦何曾耸，韩琦未是奇。满川龙虎举，犹自说兵机①。
雪（宋·张元）　　七言绝句　押微韵	五丁仗剑决云霓，直取银河下帝畿。战死玉龙三十万，败鳞风捲满天飞①。
句（宋·张元）　　押麻韵	好著金笼收拾取，莫教飞去别人家（鹦鹉）。
