赋雪（宋·贺德英）　　五言绝句　押佳韵	谁剪银河水，飞花出汉霾。月明人竞往，踏破水晶街。
题县厅壁（宋·贺德英）　　七言绝句　押真韵	昆明池里跃金鳞，怒目扬鬐不露身。想是龙门曾点额，至今羞见钓鳌人。
圣小儿诗（宋·贺德英）　　五言排律　押支韵	英秀钟河岳，生来号圣儿。虽云年尚小，不待学而知。博古通今识，超群迈秀姿。浩然食牛气，非若聚鱼嬉。祖瑩耽书日，甘罗入相时。看看头角长，身到凤凰池。
句（宋·贺德英）　　押庚韵	易描通臂状，难写断肠声（咏画猿）。
