答郭祥正居士（宋·释守端）　　押药韵	藏身不用缩头，敛迹何须收脚。金乌半夜辽天，玉免赶他不著。
句（宋·释守端）　　押先韵	异乡风俗客不恶，但欲南音来耳边。
过桥遭攧有省作偈（宋·释守端）　　押哿韵	我有明珠一颗，久被尘劳关锁。今朝尘尽光生，照破山河万朵。
偈七首（宋·释守端）	鸟有双翼，飞无远近。首出一隅，行无前后。
为郭功甫偈（宋·释守端）　　押沃韵	牛来山中，水足草足。牛出山去，东触西触。
偈（宋·释守端）　　押支韵	一文大光钱，买得个油糍。吃放肚里了，当下便不饥①。
北斗藏身因缘偈（宋·释守端）　　押歌韵	九衢公子游花惯，未第贫儒感慨多。冷地看他人富贵，等闲无奈幞头何。
蝇子透窗偈（宋·释守端）　　押寒韵	为爱寻光纸上钻，不能透处几多般。忽然撞著来时路，始觉平生被眼瞒①。
