秦君亭（宋·张思）　　七言绝句　押豪韵	蝉蜕真为一世豪，双蜗逐逐笑吾曹。秦君已去亭长在，著向山高更觉高。
碧玉峡（宋·张思）　　七言绝句　押萧韵	野迥方知天广大，身高更觉石岧峣。泉人试为平章看，胜绝何如透碧霄。
醉石（宋·张思）　　七言绝句　押庚韵	席地为茵寄此生，洼樽独酌有馀清。蓑衣和月卧不醒，江上数峰云自横①。
