石室庵夜坐（宋·朱真静）　　七言绝句　押庚韵	青灯寒焰弄微明，灯与幽人一样清。案上黄庭浑懒看，时闻败叶打窗声。
入山采药遇异人（宋·朱真静）　　七言绝句　押文韵	紧著芒鞋高系裙，野猿相狎许同群。绿萝林里采茶去，踏碎青山一片云。
又题座右窗间（宋·朱真静）　　七言绝句　押虞韵	经书不是语虚无，荆棘丛中有坦涂。不遇至人真口诀，误人错下死工夫。
题石室庵前竹上（宋·朱真静）　　七言绝句　押真韵	十年身与鬼为邻，曾见岩花几度春。莫怪柴门终日闭，怕将尘事恼閒人①。
临终偈（宋·朱真静）　　押先韵	去来如一，真性湛然。风收云散，月在青天①。
