梅岭冈（宋·黄度）　　七言绝句　押侵韵	梅冈丘垄已难寻，堪恨吴儿太忍心。闻道土山标擘处，原头丛薄不成阴①。
玄武湖（宋·黄度）　　七言绝句　押庚韵	玄武湖中春草生，依稀想见竹篱城。后来万堞如云起，方恨图王事不成。
冶城楼（宋·黄度）　　七言绝句　押庚韵	果然当国擅功名，著屐闲来上冶城。久欲乘风还海道，江山佳处尚关情。
青溪阁（宋·黄度）　　七言绝句　押尤韵	江家旧宅枕溪头，谁向溪湾著小楼。无奈当年亡国恨，潮生潮落几时休①。
白鹭亭（宋·黄度）　　七言绝句　押微韵	白鹭亭前白鹭飞，定知公子未忘机。我来犹识难驯意，江际翩翩趁落晖。
凤凰台（宋·黄度）　　七言绝句　押尤韵	江淮表里拱神州，底事干戈不肯休。试上凤凰台上望，定山尽处是瓜洲①。
