竞渡棹歌（宋末元初·黄公绍）　　押先韵	望天湖，望天湖，绿杨深处鼓𪔱𪔱。好是年年三二月，湖边日日看划船。
满江红 花朝雨作（宋末元初·黄公绍）	客子光阴，又还是、杏花阡陌。敧枕听、一窗夜雨，怎生禁得。银蜡痕消珠凤小，翠衾香冷文鸳拆。叹人生、时序百年心，萍踪迹。声不断，楼头滴。行不住，街头屐。倩新来双燕，探晴消息。可煞东君多著意，柳丝染出西湖色。待牡丹、开处十分春，催寒食。
念奴娇 月（宋末元初·黄公绍）	山围宽碧，月十分圆满，十分春暮。匹似涌金门外看，添得绿阴佳树。野阔星垂，天高云敛，不受红尘污。徘徊水影，闲中自有佳处。乘兴著我扁舟，山阴夜色，渺渺流光溯。望美人兮天一角，我欲凌风飞去。世事浮沈，人生圆缺，得似烟波趣。兴怀赤壁，大江千古东注。
潇湘神 端午竞渡棹歌十首 其十（宋末元初·黄公绍）	月明中，月明中，满湖春水望难穷。欲学楚歌歌不得，一场离恨两眉峰。
花犯 木芙蓉（宋末元初·黄公绍）	翠奁空、红鸾蘸影，嫣然弄妆晚。雾鬟低颤。飞嫩藕仙裳，清思无限。象床试锦新翻样，金屏连绣展。最好似、阿环娇困，云酣春帐暖。寻思水边赋娟娟，新霜□旧约，西风庭院。肠断处，秋江上、彩云轻散。凭谁向、一筝过雁。细说与、眉心杨柳怨。且趁此、菊花天气，年年寻醉伴。
望江南/忆江南 其一 雨（宋末元初·黄公绍）	思晴好，去上竹山窠。自古常言光霁好，如今却恨雨声多。奈此坐愁何。
喜迁莺 荼（宋末元初·黄公绍）	乱红飞雨。怅春心一似，腾腾闷暑。密绾柔情，暗传芳意，人在垂杨深宇。晓雪一帘幽梦，半点檀心知否。春不管，想粉香凝泪，翠颦含趣。谁念芳径小，新绿笺笺，问讯今何许。玉冷钗头，罗宽带眼，缥缈青鸾难遇。望断碧云深处，倚遍画阑将暮。空惆怅，更江头桃叶，溜横波渡。
望江南 其三（宋末元初·黄公绍）	思晴好，小驻岂无因。花上半旬春社雨，松间三宿暮山云。转住是愁人。
汉宫春 郡圃赏白莲（宋末元初·黄公绍）	身到瑶池。正□永芙蓉，跕素鸾飞。绿云淡笼波面，鸳影差差。青冥世界，向龙宫、涌出江妃。凝望久，夜凉如水，人间惆怅芳时。池上方壶仙伯，是珊珊月佩，绰绰冰肌。重来碧环胜处，笑引琼卮。谁歌白雪，坐中客、赛过玄晖。醉归也，玉绳低转，晓风轻拂荷衣。
莺啼序 吴江长桥（宋末元初·黄公绍）	银云卷晴缥缈，卧长龙一带。柳丝蘸、几簇柔烟，两市帘栋如画。芳草岸、弯环半玉，鳞鳞曲港双流会。看碧天连水，翻成箭样风快。白露横江，一苇万顷，问灵槎何在。空翠湿衣不胜寒，日华金掌沆瀣。甃花平、绿文衬步，琼田涌出神仙界。黛眉修，依约雾鬟，在秋波外。阁嘘青蜃，楼啄彩虹，飞盖蹴鳌背。灯火暮，相轮倒影，偷睇别浦，片片归帆，远自天际。舞蛟幽壑，栖鸦古木，有人剪取松江水，忆细鳞巨口鱼堪鲙。波涵笠泽，时见静影浮光，霏阴万貌千态。蒹葭深处，应有闲鸥，寄语休见怪。倩洗却、香红尘面，买个扁舟，身世飘萍，名利微芥。阑干拍遍，除东曹掾，与天随子是我辈，尽胸中、著得乾坤大。亭前无限惊涛，总把遥吟，月明满载。
明月棹孤舟/夜行船 木樨（宋末元初·黄公绍）	雁带愁来寒事早。西风把鬓华吹老。猛省中秋，都来几日，先自木樨开了。淰淰轻阴天弄晓。平白地、被花相恼。一枕云闲，半窗秋晓，时有阵香吹到。
踏莎行 木樨（宋末元初·黄公绍）	蟾苑萧疏，云岩芳馥。仙娥寄种来溪曲。晓烟薰上古龙涎，西风展破黄金粟。庾岭未梅，陶园休菊。天教占取清香独。胆瓶枕畔两三枝，梦回疑在瑶台宿。
洞仙歌 刘守之任（宋末元初·黄公绍）	银菟分竹，是君王亲付。州在扶舆最清处。紫云楼、记取天语丁宁，襦绔手，好好为吾摩拊。望公如望月，见说郴江，父老多时问来暮。旌旆试初凉，紫马西来，青丝络、秋风满路。早橘井丹成入仙班，有乔木前芳，事须公做。
喜迁莺 和老人咏梅（宋末元初·黄公绍）	世情冰尽。算耐久祗是，陇头芳信。惆怅人间，几千年□，留得陆郎馀韵。朔云解识花意，遮断疏狂蝶粉。岁寒了，狂风传香远，月移影近。清润。无点涴，不曰坚乎，如玉真难尽。除宋广平，与林和靖，肉眼有谁能认。仙丰道骨如许，相对霜髯雪鬓。长健也，好年年管领，春光随分。
青玉案（宋末元初·黄公绍）	年年社日停针线。怎忍见、双飞燕。今日江城春已半。一身犹在，乱山深处，寂寞溪桥畔。春衫著破谁针线。点点行行泪痕满。落日解鞍芳草岸。花无人戴，酒无人劝，醉也无人管。
