书怀呈江阴军（宋·裴若讷）　　七言绝句　押文韵	男儿忧道不忧贫，匣有焦桐箧有文。却访姑苏台下隐，满船明月一溪云。
江阴绝句（宋·裴若讷）　　七言绝句　押麻韵	紫莼江上是吾家，一叶扁舟一钓车。何必陶公种鱼法，雨汀烟渚尽生涯。
句（宋·裴若讷）　　押微韵	渔人借问去何处，白酒香甜紫蟹肥。
