玉环山（宋·曾觌）　　七言绝句　押庚韵	天宝胡尘暗两京，祸从妃子笑中生。玉环两字真堪恨，好与青山别改名①。
题杨补之雪梅图（宋·曾觌）　　七言绝句　押支韵	笔端造化出天巧，写出江南雪压枝。谁道春归无觅处，横斜全似越溪时①。
春光好 其二 感旧（宋·曾觌）	心下事，不思量。自难忘。花底梦回春漠漠，恨偏长。闲日多少韶光。雕阑静、芳草池塘。风急落红留不住，又斜阳。
水龙吟（宋·曾觌）	楚天千里无云，露华洗出秋容净。银蟾台榭，玉壶天地，参差桂影。鸳瓦寒生，画檐光射，碧梧金井。听韶华半夜，江梅三弄，风袅袅、良宵永。携手西园宴罢，下瑶台、醉魂初醒。吹箫仙子，骖鸾归路，一襟清兴。鳷鹊楼高，建章门迥，星河耿耿。看沧江潮上，丹枫叶落，浸关山冷。
念奴娇（宋·曾觌）	霁天湛碧，正新凉风露，冰壶清澈。河汉无声□□□，涌出银蟾孤绝。巘桂香飘，井梧影转，冷浸宫袍洁。西厢往事，一帘幽梦凄切。肠断楚峡云归，尊前无绪，只有愁如发。此夕姮娥应也恨，冷落琼楼金阙。禁漏迢迢，边鸿杳杳，密意凭谁说。阑干星汉，落梅三弄初阕。
念奴娇  席上赋林檎花（宋·曾觌）	群花渐老，向晓来微雨，芳心初拆。拂掠娇红香旖旎，浑欲不胜春色。淡月梨花，新晴繁杏，装点成标格。风光都在，半开深院人寂。刚要买断东风，袅栾枝低映，舞茵歌席。记得当时曾共赏，玉人纤手轻摘。醉里妖饶，醒时风韵，比并堪端的。谁知憔悴，对花空恁思忆。
念奴娇  赏芍药（宋·曾觌）	人生行乐，算一春欢赏，都来几日。绿暗红稀春已去，赢得星星头白。醉里狂歌，花前起舞，拚罚金杯百。淋漓宫锦，忍辜妖艳姿色。须信殿得韶光，祗愁花谢，又作经年别。嫩紫娇红还解语，应为主人留客。月落乌啼，酒阑烛暗，离绪伤吴越。竹西歌吹，不堪老去重忆。
念奴娇  余年十八寓符离，临行，作此词（宋·曾觌）	媚容素态，比群花、赢了风流颜色。昵枕低帏销受得，□□轻怜深惜。怎望如今，瓶沈簪折，蓦地成疏隔。□□夕雨，甚时重见踪迹。门外暂泊兰舟，一行霜树，□一重山碧。泪眼相看争忍望，天际孤村寒驿。汴水无情，催人东去，去也添愁寂。鳞鸿方便，为人传个消息。
瑞鹤仙（宋·曾觌）	陡寒生翠幕。冻云垂，缤纷飞雪初落。萦风度池阁。袅馀妍，时趁舞腰纤弱。江天漠漠。认残梅、吹散画角。正貂裘乍怯，黄昏院宇，入檐飘泊。依约。银河迢递，种玉群仙，共骖鸾鹤。东君未觉。先春绽，万花萼。向尊前、已喜丰年呈瑞，人间何事最乐。拥笙歌、绣阁低帷，纵欢细酌。
倾杯乐  仙吕  席上赏雪（宋·曾觌）	锦帐寒添，画檐雀噪，冻云布野。望空际、瑶峰微吐，琼花初绽，江山如画。裁冰剪水装鸳瓦。杳旗亭路，依稀管弦台榭。倚小楼佳兴，一行珠帘不下。随缕板、歌声閒暇。傍翠袖云鬟、怜艳冶。似佯醉、不耐娇羞，浓欢旋学风雅。向暝色、双鸾舞罢。红兽暖、春生金斝。但殢饮，香雾捲、壶天不夜。
木兰花慢  长乐台晚望偶成（宋·曾觌）	正枝头荔子，晚红皱、袅熏风。对碧瓦迷云，青山似浪，返照浮空。高台称吟眺处，□繁华、清胜两无穷。帘捲榕阴暮合，万家香霭溟濛。年光冉冉逐飞鸿。叹雨迹云踪。渐暑退兰房，凉生象簟，知与谁同。临鸾晚妆初罢，怨清宵、好梦不相逢。看即天涯秋也，恨随一叶梧桐。
水调歌头  书怀（宋·曾觌）	溪山多胜事，诗酒辨清游。主人为我，增葺台榭足凝眸。髣髴玉壶天地，隐见瀛洲风月，千首傲王侯。谁与共登眺，公子气横秋。记当年，曾共醉，庾公楼。一杯此际，重话前事逐东流。多谢兼金清唱，更拟重阳佳节，挼菊任扶头。但愿身长健，浮世拚悠悠。
水调歌头（宋·曾觌）　　押尤韵	图画上麟阁，莫使鬓先秋。壮年豪气，无奈黯黯阵云浮。常记青油幕下，一矢聊城飞去，谈笑静边头。勋业出无意，非为快恩雠。卷龙韬，随凤诏，与时谋。朱幡皂盖南下，聊试海山州。邂逅故人相见，俯仰浮生今古，蝼蚁共王侯。万事偶然耳，风月恣嬉游。
