五峰岩（宋·傅伯成）　　五言绝句	山中亦何有，烟云扶层梯。叠石抚空罅，洞水涵清漪①。
素馨花（宋·傅伯成）　　七言绝句　押庚韵	昔日云鬟锁翠屏，只今烟冢伴荒城。香魂断续无人问，空有幽花独擅名①。
送留正知赣州（宋·傅伯成）	尚书镇章江，慈母怀婴儿。去年甫去郡，未觉棠阴移。如何失调驭，众目惊睽睽。诏书念前绩，趣起持州麾。重临亦云宠，去后良多思①。
句（宋·傅伯成）　　押庚韵	岁晚松篁期苦节，春光桃李任多情（清芬亭）。
