春帖子（宋·邓润甫）　　七言绝句　押东韵	晨曦潋滟上帘栊，金屋熙熙歌吹中。桃脸似知宫宴早，百花头上放轻红①。
送黄守解印（宋·邓润甫）　　七言绝句　押灰韵	文雅登临谢守才，爱山今作别山来。知公未厌真仙境，早拥江南使节来。
诗一首（宋·邓润甫）　　七言绝句　押尤韵	闻说东南第一州，区区来访小蓬丘。湖光带日黄金拥，山色凝烟碧玉浮①。
道中咏怀奉寄利州冯允南使君（宋·邓润甫）　　五言排律　押齐韵	交印夔人国，分襟汴水堤。十年难会合，一梦顿乖暌。官序潘生拙，诗文庾信齐。诸公多汲引，宪府屡提携。不肯乘骢马，那能出宝鸡。安恬轻世味，洒落见天倪。照物聪明决，为邦闻望跻。笑谈清岸狱，暇豫劝耕犁。不忍为钩距，何尝设町畦。燕堂传夜烛，游毂碾春泥。众服题鹦鹉，畴将食駃騠。草黄思隼击，梧碧值鸾栖。欲问无来使，开编有旧题。君方安玉垒，予亦远金闺。地隔江波阔，书传鸟翼稽。岂知双鬓白，相见两当西。内顾微他技，殊私牧远黎。辞亲愁不断，叱驭意空迷。吴苑飞云杳，春城北斗低。南山千里雪，剑阁万盘溪。夜宿星边驿，朝行石上溪。深疑窥地轴，高骇蹑天梯。看岫时攲帽，听泉或杖藜。萧萧黄叶下，袅袅冷猿啼。蜀道无艰险，人心漫惨悽。永怀持从①橐，遥想缀朝圭。直北瞻天日，征西叠鼓鼙。相期郡斋冷，清话看挥犀②。
句（宋·邓润甫）　　押灰韵	武昌山水诚佳哉，当年五柳亲栽培。家家开门枕江水，春风照耀桃与梅①。
