颂古三首 虔侍者（宋·释嗣宗）　　押有韵	石人不怕师子吼，须弥顶上翻筋斗。沧溟竭尽正三更，生铁昆崙云外走。
颂（宋·释嗣宗）	涧底泥牛金贴面，山头石女著真红。系驴橛上生芝草，不是云霭香炉峰。
偈二首（宋·释嗣宗）　　押屑韵	翠岩不是不说，只为无个季节。今朝快便难逢，一句为君剖决。露柱本是木头，秤锤只是生铁。诸人若到诸方，莫道山僧饶舌。
颂古二十六首（宋·释嗣宗）	千年石虎产麒麟，一角通身五彩明。金锁玉关浑掣断，毗卢界内鼓烟尘。
