临江仙 其一 神运石（宋·邢俊臣）　　押豪韵	巍峨万丈与天高。物轻人意重，千里送鹅毛。
临江仙 其二 陈朝桧（宋·邢俊臣）　　押真韵	远来犹自忆梁陈。江南无好物，聊赠一枝春。
临江仙 其三 咏梁师成诗（宋·邢俊臣）　　押支韵	用心勤苦是新诗。吟安一个字，捻断数茎髭。
临江仙 其四 自叙寥落（宋·邢俊臣）　　押灰韵	扪窗摸户入房来。笙歌归院落，灯火下楼台。
临江仙 其五 妓有体气（宋·邢俊臣）　　押灰韵	酥胸露出白皑皑。遥知不是雪，为有暗香来。
临江仙 其六 妓体肥（宋·邢俊臣）　　押微韵	只愁歌舞罢，化作彩云飞。
