听讲圆觉经有省作颂（宋·释真慈）　　押寘韵	一颗明珠，在我这里。拨著动著，放光动地。
颂（宋·释真慈）　　押真韵	拨尘见佛，佛亦是尘。问了答了，直下翻身①。
颂尘尘三昧（宋·释真慈）	钵里饭，桶里水，别宝昆崙坐潭底。一尘尘上走须弥，明眼波斯笑弹指。笑弹指，珊瑚枝上清风起①。
