赋跛鳖先生赵万宗（《宝庆会稽续志》卷五作赵宗万）二首（宋·傅崧卿）　　七言绝句　押庚韵	生长兵间接太平，封峦亲见告功成。茂陵遗稿犹施用，跛鳖如何独未行。
以冰饷同舍（宋·傅崧卿）	蓬莱道山，群仙所游。清异人境，不风自凉。火云腾空，莫之能炎。饷以冰雪，是谓附益①。
句（宋·傅崧卿）　　押尤韵	色带墨痕迷旧沼，响随钟韵下层楼①。
