飞来峰（宋·张履信）　　五言绝句　押陌韵	飞来何处峰，木杪夜千尺。愁猿唤不应，月色同一白。
访丹阳玉乳泉已变昏黑因赋诗（宋·张履信）　　七言绝句	观音寺里泉经品，今日唯存玉乳名。定是年来无陆子，甘香收入柳枝瓶①。
翠微亭（宋·张履信）	朝朝乌北出，夜夜乌南归。所谋在一食，所息在一枝。人生竟何得，与乌同此机。身世忽过虑，泉石良自怡。月上飞来峰，更谁登翠微①。
柳梢青（宋·张履信）	雨歇桃繁，风微柳静，日淡湖湾。寒食清明，虽然过了，未觉春闲。行云掩映春山。真水墨、山阴道间。燕语侵愁，花飞撩恨，人在江南。
