重到钱唐（宋·鲍輗）　　七言绝句　押先韵	生死双飞正可怜，若为白发上征船。未应分手江南去，更有春光七十年。
襄阳行（宋·鲍輗）　　押尤韵	今日何日春气柔，东城骑马花绸缪。为君停马一呼酒，花前倒披紫绮裘。玉脂汎滥鱼鸟饫，歌舞倦矣蛾眉愁。千金万寿好宾主，今我不乐岁如流。岂比世上狂驰子，一语不合行掉头。呜呼天伦古所定，非有大故宁相尤。
天马（宋·鲍輗）　　押庚韵	天马抱奇相，紧骨瞳方明。出入百万中，有如一鸟轻。宇宙莽超踏，风云惨经营。独倚雄杰态，萧萧随北征。朝饮南海头，夕秣乃幽并。失主坐黯淡，别群奋长鸣。岂无轻侠儿，金羁悬朱缨。但感束帛义，不忍负死生。低头为君老，喑喑万里情。
