苦阴（宋·吴光）　　七言绝句　押先韵	荒山乾没更节序，浊气拥地愁无边。非烟非雾不见日，欲雨欲雪难为天。
回文暮春（宋·吴光）　　七言绝句　押麻韵	娇声啭处藏鹦小，美睡浓时落日斜。桥拂柳溪深涨水，眼惊春雨过飞花。
句（宋·吴光）　　押元韵	檐头清响银匙动，阶下寒光玉碗翻（食雪）。
