武夷仙架船岩（宋·翁彦约）　　七言绝句　押歌韵	西溪漂渺接明河，鼓棹仙人泛立波。却御长风天上去，虚舟千古插嵯峨。
武夷仙机石（宋·翁彦约）　　七言绝句　押萧韵	辛苦支机耐寂寥，肯同嬴女只吹箫。金梭昨夜成龙去，上与天孙织绛绡。
武夷鸡窠岩（宋·翁彦约）　　七言绝句　押庚韵	仙人清磬读黄庭，长听金鸡半夜声。一夕都随黄鹤去，满巢明月白云生。
武夷三层峰（宋·翁彦约）　　七言绝句　押庚韵	层峰三叠倚青冥，雾宿云飞自有程。杳霭又因关造化，故教人世验阴晴。
武夷毛竹洞（宋·翁彦约）　　七言绝句　押支韵	毛竹连云路欲迷，洞门深锁落花迟。鲁孙几度春风老，未了仙人一局棋①。
仙钓台（宋·翁彦约）　　七言绝句　押冬韵	百粤尧时路未通，曲溪春水没长松。老仙台上无明月，不钓凡鱼只钓龙①。
晞真馆（宋·翁彦约）　　七言绝句　押尤韵	濯濯清溪九曲流，一天风露万山秋。凄清不似人间世，月槛云窗特地幽①。
