玉山道上（宋·邓有功）　　七言绝句　押寒韵	玉溪溪上雨声乾，日暮东风客衲寒。数树梅花吹作雪，行人犹自倚阑干。
客信丰寄刘起潜（宋·邓有功）　　七言绝句　押麻韵	怪得寒灯昨夜花，五更归梦倏还家。多情儿女伤离别，争挽征衫问鬓华。
贺刘掞赴召史馆校勘（宋·邓有功）	秋堂风露声唔咿，青灯一点昏两眵。蟫鱼蠹纸老白日，未识心宇包黄羲。麟胶饮尽霜兔泣，俪花斗叶纷奇姿。少年轻裘舌秦衍，睥睨六印京尘缁。平生眼底厌糠秕，自对春风乐沂水。搜奇抉怪问子云，载酒归来成独醉。金刀喜有南邻翁，曾吹藜焰丹霞峰。白云满榻呼不起，斜日倚仗酣秋空。紫皇一夕下纶旨，细祓丹铅勘文字。会将一语赞阳秋，高入九天卑九地。圣明勋业琬琰储，不独焜耀冰衔书。两朝蒐辑摩日月，往往呼喝羞庭衢。庐陵健笔人莫赎，南丰瓣香竟谁续。西江浩浩流古今，莫遣白头愧青竹。
送曾子华游赣（宋·邓有功）	丈夫达有遇，出令走千里。焚香玩太空，宴坐尘不起。云胡子曾子，不自乐沂水。风烟挟两袖，足跟尚芒履。持被直承明，三省良未已。观君气如虹，接淅亦可美。昔年子长游，落笔妙信史。三苏出岷峨，文章仰欧子。此行崆峒岭，万事宁足侈。郁孤有奇观，佳句公摩洗。予生事斗室，出若畏澜蠡。长安歌狭邪，神鼎铸螭魅。穷通匪同途，动静实一理。时止复时行，愿与参此义①。
点绛唇（宋·邓有功）	卷上珠帘，晚来一阵东风恶。客怀萧索。看尽残花落。自把银瓶，买酒成孤酌。伤漂泊。知音难托。闷倚阑干角。
选冠子（宋·邓有功）	燕蹴飞红，莺迁新绿，几阵晚来风急。谢家池馆，金谷园林，还又把春虚掷。年时恨雨愁云，物换星移，有谁曾忆。把一尊试酹，落花芳草，总成尘迹。频自笑、流浪孤萍，沾泥弱絮，有底困春无力。银屏香暖，宝簟波寒，又负月明今夕。往事梦里，沈思惟有罗襟，泪痕犹湿。奈垂杨万缕，不系西风白日。
