虞美人草（宋·许景迂）　　七言绝句　押真韵	合欢枝叶想腰身，不共长安草木春。若听楚歌能楚舞，未央空有戚夫人①。
茭白（宋·许景迂）　　七言绝句　押蒸韵	翠叶森森剑有棱，柔条松甚比轻冰。江湖若借秋风便，好与莼鲈伴季鹰①。
茉莉花（宋·许景迂）　　押阳韵	自是天上冰雪种，占尽人间富贵香。不烦鼻观偷馥郁，解使心地俱清凉。南船贾客俱到岸，东道主人容寄廊①。
赠制刻漏前挈壶王君渊（宋·许景迂）	蛩吟秋方来，鹤鸣夜参半。山中无历日，荣悴知节换。王君太多事，丝杪察昏旦。辛苦穷河源，把彼注罂罐。线溜来不停，会见白石烂。旁有减水壶，节水使之缓。傥无乘除法，巧历安得算。反求诸吾身，自有子午观。百刻呼吸调，勿使魂去干。冤哉张寿王，课最密于汉。信史不足徵，徒兴千载叹。抱筹付木仙，试判此公案①。
东湖生双莲花守者以为郡斋献馆宾黄云夫有诗述其事应史君属和且以见示辄次韵（宋·许景迂）	王业根本在豳岐，郡国千万分柯枝。使君驷马一马驰，三台瑞应天为之。视吏舆台民如子，不烦颐指而气使。铃斋宴坐扬仁风，披拂东湖花十里。六月为霖报政成，山光水容朝暮新。春王淘珠登早穑，比邻果是华胥国①。采莲游艇献骈芳，蜀客作歌纪其祥。转而上闻君相喜，伫待来归政事堂②。
句（宋·许景迂）　　押豪韵	野店青辟户，春船绿涨篙①。
