江梅（宋·田亘）　　七言律诗　押阳韵	千林含冻郁苍苍，只有江梅独自芳。暗吐幽香穿别院，半敧斜影入寒塘。冰肤宛是姑仙女，粉面端疑骑省郎。若是蜜奴曾拂掠，肯收红艳贮蜂房。
飞鸢（宋·田亘）　　七言绝句　押删韵	涎涎晴空作鹘盘，仰空谁不羡高闲。岂知尽日劳心眼，只在尘寰腐鼠间①。
王晋卿图瀛山笔画精致京师贵游蓄之为希代之宝自图书弃掷于路阳翟张飞卿见而得之过九江以遗友人傅延之延之出以示余余悲而赋诗（宋·田亘）　　七言绝句　押尤韵	他日缄幐属贵游，讵知迁徙过南州。天涯与汝共沦落，泪湿湓江烟雨秋①。
句（宋·田亘）　　押灰韵	趁暖不随千卉折，凌寒先伴六花开（梅）。
