雪（宋·黄景说）　　七言绝句　押尤韵	说道羞明却不羞，日光玉洁共飞浮。天人胸次明如洗，肯似人间只暗投①。
梨岭遇雨（宋·黄景说）　　七言绝句　押元韵	黑风吹雨又黄昏，鸡犬数声何处村。身在岭云飞处湿，不关别泪溅成痕①。
古风贺周益公休致（宋·黄景说）	相公能辞一品官，不能辞他九转丹。相公能却万钟粟，不能却他长生箓。潭潭之居移气体，新年七十儿童似。朝明见客步如飞，窗下时时看细字。高车得似垂车荣，巍冠何如挂冠清。深衣独乐真天人，谁其友之聃与彭。
诗一首（宋·黄景说）　　押纸韵	居乡如处子，居官如战士。处子常畏人，战士惟有死。儿曹书诸绅，勿谓平平耳①。
句（宋·黄景说）　　押删韵	一落风尘即厚颜。
